Transaktionen,Header,DataDiscriminator,Vermögenswertkategorie,Währung,Symbol,Datum/Zeit,Menge,T.-Kurs,Schlussk.,Erlös,Prov./Gebühr,Basis,Realisierter G&V,MTM-G&V,Code
Transaktionen,SubTotal,,Aktien,USD,WINA,,-3,,,1206.3,-2,-1334.465,-130.165,32.34,
Transaktionen,Data,Order,Aktien,USD,WING,"2024-01-10, 10:53:00",5,255.12,259.42,-1275.6,-2,1277.6,0,21.5,O
Transaktionen,Data,Order,Aktien,USD,WING,"2024-01-10, 11:21:46",-5,255.24,259.42,1276.2,-2,-1277.6,-3.4,-20.9,C
Transaktionen,Data,Order,Aktien,USD,WING,"2024-01-18, 10:33:10",5,274.71,275.48,-1373.55,-2,1375.55,0,3.85,O
Transaktionen,Data,Order,Aktien,USD,WING,"2024-02-21, 09:30:07",-5,303,310.32,1515,-2,-1375.55,137.45,-36.6,C
Transaktionen,SubTotal,,Aktien,USD,WING,,0,,,142.05,-8,0,134.05,-32.15,
Transaktionen,Data,Order,Aktien,USD,WM,"2024-02-15, 15:44:30",15,198.685,199.11,-2980.275,-2,2982.275,0,6.375,O
Transaktionen,Data,Order,Aktien,USD,WM,"2024-04-01, 11:59:26",-15,211.93,212.91,3178.95,-2,-2982.275,194.675,-14.7,C
Transaktionen,SubTotal,,Aktien,USD,WM,,0,,,198.675,-4,0,194.675,-8.325,
Transaktionen,Data,Order,Aktien,USD,ZS,"2024-01-24, 13:44:29",5,243.85,241.38,-1219.25,-2,1221.25,0,-12.35,O
Transaktionen,Data,Order,Aktien,USD,ZS,"2024-02-21, 09:30:00",-5,212.12,213.92,1060.6,-2,-1221.25,-162.65,-9,C;P
Transaktionen,SubTotal,,Aktien,USD,ZS,,0,,,-158.65,-4,0,-162.65,-21.35,
Transaktionen,Total,,Aktien,USD,,,,,,24404.6041,-404.12,-21198.739167,5843.094931,-545.1559, 
Transaktionen,Total,,Aktien,EUR,,,,,,22673.766589558,-373.0489892,-19700.334187873,5411.351148152,-503.686497842, 
